xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
60                       randstim_b_B    0.06      0.33    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.29      0.95    posterior_SD
64                    randstim_stim_B    0.23      0.96    posterior_SD
65               randstim_sigma_sub_A    0.03      0.16    posterior_SD
66               randstim_sigma_sub_B    0.02      0.16    posterior_SD
67              randstim_sigma_stim_A    0.05      0.25    posterior_SD
68              randstim_sigma_stim_B    0.04      0.25    posterior_SD
69                 randstim_cond_diff    0.07      0.47    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.09      0.76  posterior_mean
72                              AR(1)    0.02      0.48  posterior_mean
73                              AR(2)    0.01      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.37      1.12  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.37      1.12  posterior_mean
76           nipymc_fixstim_cond_diff    0.19      0.41  posterior_mean
77                        sigma_y_obs    0.01      1.01  posterior_mean
78          b_nipymc_fixstim_stimulus    0.11      0.97    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.07      0.21    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.07      0.22    posterior_SD
83           nipymc_fixstim_cond_diff    0.04      0.27    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.17      1.21  posterior_mean
86                              AR(1)    0.02      0.51  posterior_mean
87                              AR(2)    0.01      0.16  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.23      0.82  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.23      0.81  posterior_mean
90            nipymc_nostim_cond_diff    0.37      0.85  posterior_mean
91                        sigma_y_obs    0.01      1.03  posterior_mean
92          b_nipymc_nostim_condition    0.16      0.47    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.02      0.15    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.02      0.15    posterior_SD
97            nipymc_nostim_cond_diff    0.04      0.24    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.18      1.27  posterior_mean
100                             AR(1)    0.02      0.47  posterior_mean
101                             AR(2)    0.01      0.16  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.27      0.96  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.27      0.96  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.24      0.94  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.24      0.93  posterior_mean
106         nipymc_randstim_cond_diff    0.36      0.88  posterior_mean
107                       sigma_y_obs    0.01      1.01  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.55    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.04      0.23    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.04      0.23    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.02      0.16    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.02      0.16    posterior_SD
115         nipymc_randstim_cond_diff    0.06      0.42    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q32_s2: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    3.01      4.18  test_statistic
1                   fixstim_cond_diff    2.94      3.87  test_statistic
2                    nostim_cond_diff    2.85      3.78  test_statistic
3                  randstim_cond_diff    0.98      1.24  test_statistic
4            nipymc_fixstim_cond_diff    1.47      2.28  test_statistic
5             nipymc_nostim_cond_diff    2.80      3.82  test_statistic
6           nipymc_randstim_cond_diff    0.88      1.18  test_statistic
7                       SPM_cond_diff    0.59      0.86  posterior_mean
8                          SPM_A_mean    0.37      0.60  posterior_mean
9                          SPM_B_mean    0.44      1.46  posterior_mean
10                            SPM_AR1    0.04      0.58  posterior_mean
11                            SPM_AR2    0.02      0.12  posterior_mean
12                      SPM_cond_diff    0.06      0.22    posterior_SD
13                         SPM_A_mean    0.05      0.14    posterior_SD
14                         SPM_B_mean    0.04      0.15    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.33      1.24  posterior_mean
18                        fixstim_AR1    0.03      0.51  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.46      0.84  posterior_mean
21                fixstim_sigma_sub_B    0.29      0.84  posterior_mean
22                  fixstim_cond_diff    0.69      0.90  posterior_mean
23                      fixstim_sigma    0.02      1.04  posterior_mean
24                          fixstim_b    0.28      1.94    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.01    posterior_SD
27                fixstim_sigma_sub_A    0.05      0.15    posterior_SD
28                fixstim_sigma_sub_B    0.03      0.15    posterior_SD
29                  fixstim_cond_diff    0.06      0.25    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.34      0.54  posterior_mean
32                         nostim_b_B    0.38      1.22  posterior_mean
33                         nostim_AR1    0.04      0.61  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.35      0.53  posterior_mean
36                 nostim_sigma_sub_B    0.26      0.51  posterior_mean
37                   nostim_cond_diff    0.53      0.68  posterior_mean
38                       nostim_sigma    0.03      1.10  posterior_mean
39                         nostim_b_A    0.05      0.14    posterior_SD
40                         nostim_b_B    0.04      0.14    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.04      0.13    posterior_SD
44                 nostim_sigma_sub_B    0.03      0.13    posterior_SD
45                   nostim_cond_diff    0.04      0.19    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.47      0.78  posterior_mean
48                       randstim_b_B    0.49      1.66  posterior_mean
49                       randstim_AR1    0.03      0.52  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.09      0.00  posterior_mean
52                    randstim_stim_B    0.08      0.01  posterior_mean
53               randstim_sigma_sub_A    0.45      0.82  posterior_mean
54               randstim_sigma_sub_B    0.29      0.82  posterior_mean
55              randstim_sigma_stim_A    0.51      1.87  posterior_mean
56              randstim_sigma_stim_B    0.42      1.94  posterior_mean
57                 randstim_cond_diff    0.69      0.89  posterior_mean
58                     randstim_sigma    0.02      1.05  posterior_mean
59                       randstim_b_A    0.13      0.51    posterior_SD
60                       randstim_b_B    0.11      0.52    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.01    posterior_SD
63                    randstim_stim_A    0.47      1.74    posterior_SD
64                    randstim_stim_B    0.39      1.79    posterior_SD
65               randstim_sigma_sub_A    0.05      0.15    posterior_SD
66               randstim_sigma_sub_B    0.03      0.15    posterior_SD
67              randstim_sigma_stim_A    0.10      0.41    posterior_SD
68              randstim_sigma_stim_B    0.08      0.42    posterior_SD
69                 randstim_cond_diff    0.12      0.73    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.13      0.69  posterior_mean
72                              AR(1)    0.03      0.54  posterior_mean
73                              AR(2)    0.02      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.51      0.87  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.50      0.88  posterior_mean
76           nipymc_fixstim_cond_diff    0.27      0.49  posterior_mean
77                        sigma_y_obs    0.02      1.05  posterior_mean
78          b_nipymc_fixstim_stimulus    0.19      1.50    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.07      0.18    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.07      0.18    posterior_SD
83           nipymc_fixstim_cond_diff    0.05      0.23    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.23      0.85  posterior_mean
86                              AR(1)    0.04      0.61  posterior_mean
87                              AR(2)    0.02      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.29      0.48  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.31      0.50  posterior_mean
90            nipymc_nostim_cond_diff    0.51      0.67  posterior_mean
91                        sigma_y_obs    0.03      1.10  posterior_mean
92          b_nipymc_nostim_condition    0.20      0.39    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.03      0.13    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.03      0.13    posterior_SD
97            nipymc_nostim_cond_diff    0.04      0.18    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.26      0.97  posterior_mean
100                             AR(1)    0.03      0.52  posterior_mean
101                             AR(2)    0.02      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.43      1.77  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.46      1.82  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.36      0.78  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.38      0.80  posterior_mean
106         nipymc_randstim_cond_diff    0.51      0.71  posterior_mean
107                       sigma_y_obs    0.02      1.05  posterior_mean
108       b_nipymc_randstim_condition    0.16      0.60    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.08      0.36    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.08      0.37    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.03      0.15    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.04      0.15    posterior_SD
115         nipymc_randstim_cond_diff    0.09      0.62    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q64_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    1.10      3.87  test_statistic
1                   fixstim_cond_diff    1.04      3.68  test_statistic
2                    nostim_cond_diff    1.06      3.74  test_statistic
3                  randstim_cond_diff    1.07      3.66  test_statistic
4            nipymc_fixstim_cond_diff    0.39      0.21  test_statistic
5             nipymc_nostim_cond_diff    1.04      3.72  test_statistic
6           nipymc_randstim_cond_diff    1.02      3.67  test_statistic
7                       SPM_cond_diff    0.27      1.05  posterior_mean
8                          SPM_A_mean    0.21      1.07  posterior_mean
9                          SPM_B_mean    0.20      2.12  posterior_mean
10                            SPM_AR1    0.01      0.44  posterior_mean
11                            SPM_AR2    0.01      0.14  posterior_mean
12                      SPM_cond_diff    0.04      0.27    posterior_SD
13                         SPM_A_mean    0.03      0.20    posterior_SD
14                         SPM_B_mean    0.03      0.20    posterior_SD
15                            SPM_AR1    0.00      0.01    posterior_SD
16                            SPM_AR2    0.00      0.01    posterior_SD
17                          fixstim_b    0.15      1.52  posterior_mean
18                        fixstim_AR1    0.01      0.44  posterior_mean
19                        fixstim_AR2    0.01      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.16      1.06  posterior_mean
21                fixstim_sigma_sub_B    0.15      1.06  posterior_mean
22                  fixstim_cond_diff    0.26      1.01  posterior_mean
23                      fixstim_sigma    0.01      1.00  posterior_mean
24                          fixstim_b    0.08      0.82    posterior_SD
25                        fixstim_AR1    0.00      0.01    posterior_SD
26                        fixstim_AR2    0.00      0.01    posterior_SD
27                fixstim_sigma_sub_A    0.02      0.16    posterior_SD
28                fixstim_sigma_sub_B    0.02      0.16    posterior_SD
29                  fixstim_cond_diff    0.03      0.28    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.20      1.00  posterior_mean
32                         nostim_b_B    0.19      2.00  posterior_mean
33                         nostim_AR1    0.01      0.45  posterior_mean
34                         nostim_AR2    0.01      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.15      1.03  posterior_mean
36                 nostim_sigma_sub_B    0.15      1.03  posterior_mean
37                   nostim_cond_diff    0.26      1.00  posterior_mean
38                       nostim_sigma    0.01      1.00  posterior_mean
39                         nostim_b_A    0.03      0.19    posterior_SD
40                         nostim_b_B    0.03      0.20    posterior_SD
41                         nostim_AR1    0.00      0.01    posterior_SD
42                         nostim_AR2    0.00      0.01    posterior_SD
43                 nostim_sigma_sub_A    0.02      0.15    posterior_SD
44                 nostim_sigma_sub_B    0.02      0.15    posterior_SD
45                   nostim_cond_diff    0.03      0.27    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.20      1.01  posterior_mean
48                       randstim_b_B    0.19      2.01  posterior_mean
49                       randstim_AR1    0.01      0.45  posterior_mean
50                       randstim_AR2    0.01      0.15  posterior_mean
51                    randstim_stim_A    0.00     -0.00  posterior_mean
52                    randstim_stim_B    0.00      0.00  posterior_mean
53               randstim_sigma_sub_A    0.15      1.04  posterior_mean
54               randstim_sigma_sub_B    0.15      1.04  posterior_mean
55              randstim_sigma_stim_A    0.06      0.19  posterior_mean
56              randstim_sigma_stim_B    0.06      0.19  posterior_mean
57                 randstim_cond_diff    0.26      1.00  posterior_mean
58                     randstim_sigma    0.01      1.00  posterior_mean
59                       randstim_b_A    0.03      0.20    posterior_SD
60                       randstim_b_B    0.03      0.20    posterior_SD
61                       randstim_AR1    0.00      0.01    posterior_SD
62                       randstim_AR2    0.00      0.01    posterior_SD
63                    randstim_stim_A    0.06      0.20    posterior_SD
64                    randstim_stim_B    0.06      0.20    posterior_SD
65               randstim_sigma_sub_A    0.02      0.15    posterior_SD
66               randstim_sigma_sub_B    0.02      0.15    posterior_SD
67              randstim_sigma_stim_A    0.02      0.09    posterior_SD
68              randstim_sigma_stim_B    0.02      0.09    posterior_SD
69                 randstim_cond_diff    0.03      0.28    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.05      0.43  posterior_mean
72                              AR(1)    0.01      0.44  posterior_mean
73                              AR(2)    0.01      0.15  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.40      1.55  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.40      1.51  posterior_mean
76           nipymc_fixstim_cond_diff    0.09      0.05  posterior_mean
77                        sigma_y_obs    0.01      1.00  posterior_mean
78          b_nipymc_fixstim_stimulus    0.02      0.56    posterior_SD
79                              AR(1)    0.00      0.01    posterior_SD
80                              AR(2)    0.00      0.01    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.06      0.25    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.06      0.24    posterior_SD
83           nipymc_fixstim_cond_diff    0.01      0.24    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.14      1.44  posterior_mean
86                              AR(1)    0.01      0.45  posterior_mean
87                              AR(2)    0.01      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.14      1.01  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.15      1.00  posterior_mean
90            nipymc_nostim_cond_diff    0.25      0.96  posterior_mean
91                        sigma_y_obs    0.01      1.00  posterior_mean
92          b_nipymc_nostim_condition    0.12      0.52    posterior_SD
93                              AR(1)    0.00      0.01    posterior_SD
94                              AR(2)    0.00      0.01    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.02      0.15    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.02      0.15    posterior_SD
97            nipymc_nostim_cond_diff    0.03      0.26    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.14      1.44  posterior_mean
100                             AR(1)    0.01      0.45  posterior_mean
101                             AR(2)    0.01      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.05      0.18  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.06      0.18  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.14      1.02  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.15      1.01  posterior_mean
106         nipymc_randstim_cond_diff    0.25      0.96  posterior_mean
107                       sigma_y_obs    0.01      1.00  posterior_mean
108       b_nipymc_randstim_condition    0.11      0.52    posterior_SD
109                             AR(1)    0.00      0.01    posterior_SD
110                             AR(2)    0.00      0.01    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.02      0.09    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.02      0.09    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.02      0.15    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.02      0.15    posterior_SD
115         nipymc_randstim_cond_diff    0.03      0.27    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q64_s1: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    1.60      3.99  test_statistic
1                   fixstim_cond_diff    1.53      3.67  test_statistic
2                    nostim_cond_diff    1.56      3.71  test_statistic
3                  randstim_cond_diff    1.09      2.61  test_statistic
4            nipymc_fixstim_cond_diff    0.52      0.48  test_statistic
5             nipymc_nostim_cond_diff    1.52      3.73  test_statistic
6           nipymc_randstim_cond_diff    1.01      2.61  test_statistic
7                       SPM_cond_diff    0.34      0.93  posterior_mean
8                          SPM_A_mean    0.21      0.82  posterior_mean
9                          SPM_B_mean    0.25      1.75  posterior_mean
10                            SPM_AR1    0.02      0.50  posterior_mean
11                            SPM_AR2    0.01      0.15  posterior_mean
12                      SPM_cond_diff    0.04      0.24    posterior_SD
13                         SPM_A_mean    0.03      0.15    posterior_SD
14                         SPM_B_mean    0.03      0.16    posterior_SD
15                            SPM_AR1    0.00      0.01    posterior_SD
16                            SPM_AR2    0.00      0.01    posterior_SD
17                          fixstim_b    0.18      1.42  posterior_mean
18                        fixstim_AR1    0.01      0.47  posterior_mean
19                        fixstim_AR2    0.01      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.21      1.00  posterior_mean
21                fixstim_sigma_sub_B    0.18      0.97  posterior_mean
22                  fixstim_cond_diff    0.35      0.93  posterior_mean
23                      fixstim_sigma    0.01      1.01  posterior_mean
24                          fixstim_b    0.12      1.25    posterior_SD
25                        fixstim_AR1    0.00      0.01    posterior_SD
26                        fixstim_AR2    0.00      0.01    posterior_SD
27                fixstim_sigma_sub_A    0.03      0.15    posterior_SD
28                fixstim_sigma_sub_B    0.02      0.15    posterior_SD
29                  fixstim_cond_diff    0.04      0.26    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.20      0.81  posterior_mean
32                         nostim_b_B    0.23      1.63  posterior_mean
33                         nostim_AR1    0.02      0.51  posterior_mean
34                         nostim_AR2    0.01      0.16  posterior_mean
35                 nostim_sigma_sub_A    0.19      0.85  posterior_mean
36                 nostim_sigma_sub_B    0.16      0.82  posterior_mean
37                   nostim_cond_diff    0.32      0.82  posterior_mean
38                       nostim_sigma    0.01      1.04  posterior_mean
39                         nostim_b_A    0.03      0.16    posterior_SD
40                         nostim_b_B    0.03      0.16    posterior_SD
41                         nostim_AR1    0.00      0.01    posterior_SD
42                         nostim_AR2    0.00      0.01    posterior_SD
43                 nostim_sigma_sub_A    0.02      0.13    posterior_SD
44                 nostim_sigma_sub_B    0.02      0.13    posterior_SD
45                   nostim_cond_diff    0.03      0.23    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.24      0.94  posterior_mean
48                       randstim_b_B    0.26      1.85  posterior_mean
49                       randstim_AR1    0.01      0.47  posterior_mean
50                       randstim_AR2    0.01      0.16  posterior_mean
51                    randstim_stim_A    0.02     -0.00  posterior_mean
52                    randstim_stim_B    0.02      0.00  posterior_mean
53               randstim_sigma_sub_A    0.21      0.97  posterior_mean
54               randstim_sigma_sub_B    0.17      0.94  posterior_mean
55              randstim_sigma_stim_A    0.24      0.99  posterior_mean
56              randstim_sigma_stim_B    0.18      0.98  posterior_mean
57                 randstim_cond_diff    0.35      0.92  posterior_mean
58                     randstim_sigma    0.01      1.02  posterior_mean
59                       randstim_b_A    0.04      0.26    posterior_SD
60                       randstim_b_B    0.04      0.26    posterior_SD
61                       randstim_AR1    0.00      0.01    posterior_SD
62                       randstim_AR2    0.00      0.01    posterior_SD
63                    randstim_stim_A    0.23      0.96    posterior_SD
64                    randstim_stim_B    0.18      0.94    posterior_SD
65               randstim_sigma_sub_A    0.03      0.15    posterior_SD
66               randstim_sigma_sub_B    0.02      0.14    posterior_SD
67              randstim_sigma_stim_A    0.03      0.16    posterior_SD
68              randstim_sigma_stim_B    0.02      0.16    posterior_SD
69                 randstim_cond_diff    0.04      0.36    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.06      0.46  posterior_mean
72                              AR(1)    0.01      0.48  posterior_mean
73                              AR(2)    0.01      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.40      1.33  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.40      1.35  posterior_mean
76           nipymc_fixstim_cond_diff    0.12      0.11  posterior_mean
77                        sigma_y_obs    0.01      1.02  posterior_mean
78          b_nipymc_fixstim_stimulus    0.09      0.96    posterior_SD
79                              AR(1)    0.00      0.01    posterior_SD
80                              AR(2)    0.00      0.01    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.06      0.22    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.06      0.22    posterior_SD
83           nipymc_fixstim_cond_diff    0.02      0.23    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.14      1.18  posterior_mean
86                              AR(1)    0.02      0.51  posterior_mean
87                              AR(2)    0.01      0.17  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.18      0.82  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.17      0.81  posterior_mean
90            nipymc_nostim_cond_diff    0.30      0.80  posterior_mean
91                        sigma_y_obs    0.01      1.04  posterior_mean
92          b_nipymc_nostim_condition    0.14      0.44    posterior_SD
93                              AR(1)    0.00      0.01    posterior_SD
94                              AR(2)    0.00      0.01    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.02      0.13    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.02      0.13    posterior_SD
97            nipymc_nostim_cond_diff    0.03      0.22    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.16      1.31  posterior_mean
100                             AR(1)    0.01      0.48  posterior_mean
101                             AR(2)    0.01      0.16  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.21      0.96  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.20      0.95  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.19      0.94  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.18      0.93  posterior_mean
106         nipymc_randstim_cond_diff    0.31      0.87  posterior_mean
107                       sigma_y_obs    0.01      1.02  posterior_mean
108       b_nipymc_randstim_condition    0.13      0.51    posterior_SD
109                             AR(1)    0.00      0.01    posterior_SD
110                             AR(2)    0.00      0.01    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.02      0.15    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.02      0.15    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.02      0.14    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.02      0.14    posterior_SD
115         nipymc_randstim_cond_diff    0.04      0.34    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q64_s2: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    2.20      4.14  test_statistic
1                   fixstim_cond_diff    2.24      3.80  test_statistic
2                    nostim_cond_diff    2.24      3.85  test_statistic
3                  randstim_cond_diff    0.96      1.64  test_statistic
4            nipymc_fixstim_cond_diff    0.93      1.20  test_statistic
5             nipymc_nostim_cond_diff    2.25      3.91  test_statistic
6           nipymc_randstim_cond_diff    0.88      1.59  test_statistic
7                       SPM_cond_diff    0.37      0.74  posterior_mean
8                          SPM_A_mean    0.24      0.54  posterior_mean
9                          SPM_B_mean    0.27      1.28  posterior_mean
10                            SPM_AR1    0.03      0.60  posterior_mean
11                            SPM_AR2    0.01      0.13  posterior_mean
12                      SPM_cond_diff    0.04      0.19    posterior_SD
13                         SPM_A_mean    0.04      0.11    posterior_SD
14                         SPM_B_mean    0.03      0.12    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
16                            SPM_AR2    0.00      0.01    posterior_SD
17                          fixstim_b    0.26      1.22  posterior_mean
18                        fixstim_AR1    0.02      0.52  posterior_mean
19                        fixstim_AR2    0.01      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.33      0.83  posterior_mean
21                fixstim_sigma_sub_B    0.21      0.83  posterior_mean
22                  fixstim_cond_diff    0.45      0.82  posterior_mean
23                      fixstim_sigma    0.02      1.05  posterior_mean
24                          fixstim_b    0.22      1.92    posterior_SD
25                        fixstim_AR1    0.00      0.01    posterior_SD
26                        fixstim_AR2    0.00      0.01    posterior_SD
27                fixstim_sigma_sub_A    0.04      0.13    posterior_SD
28                fixstim_sigma_sub_B    0.02      0.13    posterior_SD
29                  fixstim_cond_diff    0.05      0.23    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.23      0.52  posterior_mean
32                         nostim_b_B    0.25      1.12  posterior_mean
33                         nostim_AR1    0.03      0.63  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.26      0.52  posterior_mean
36                 nostim_sigma_sub_B    0.17      0.52  posterior_mean
37                   nostim_cond_diff    0.34      0.60  posterior_mean
38                       nostim_sigma    0.02      1.11  posterior_mean
39                         nostim_b_A    0.04      0.12    posterior_SD
40                         nostim_b_B    0.03      0.12    posterior_SD
41                         nostim_AR1    0.00      0.01    posterior_SD
42                         nostim_AR2    0.00      0.01    posterior_SD
43                 nostim_sigma_sub_A    0.03      0.11    posterior_SD
44                 nostim_sigma_sub_B    0.01      0.10    posterior_SD
45                   nostim_cond_diff    0.04      0.16    posterior_SD
46                       nostim_sigma    0.00      0.01    posterior_SD
47                       randstim_b_A    0.35      0.79  posterior_mean
48                       randstim_b_B    0.35      1.60  posterior_mean
49                       randstim_AR1    0.02      0.53  posterior_mean
50                       randstim_AR2    0.01      0.15  posterior_mean
51                    randstim_stim_A    0.05      0.00  posterior_mean
52                    randstim_stim_B    0.05      0.00  posterior_mean
53               randstim_sigma_sub_A    0.32      0.81  posterior_mean
54               randstim_sigma_sub_B    0.20      0.81  posterior_mean
55              randstim_sigma_stim_A    0.40      1.80  posterior_mean
56              randstim_sigma_stim_B    0.30      1.81  posterior_mean
57                 randstim_cond_diff    0.46      0.81  posterior_mean
58                     randstim_sigma    0.02      1.05  posterior_mean
59                       randstim_b_A    0.07      0.36    posterior_SD
60                       randstim_b_B    0.06      0.36    posterior_SD
61                       randstim_AR1    0.00      0.01    posterior_SD
62                       randstim_AR2    0.00      0.01    posterior_SD
63                    randstim_stim_A    0.38      1.73    posterior_SD
64                    randstim_stim_B    0.29      1.74    posterior_SD
65               randstim_sigma_sub_A    0.03      0.13    posterior_SD
66               randstim_sigma_sub_B    0.02      0.13    posterior_SD
